source,disease,symptom_tags,symptom_text,num_symptoms
fhai50032_symptoms_to_disease_7k,Achilles Tendinitis,achilles_tendinitis_achilles_tendinitis_achilles_tendinitis_achilles_tendinitis_is_an_overuse_injury_of_the_achilles_(uh_kill_eez)_tendon|the_band_of_tissue_that_connects_calf_muscles_at_the_back_of_the_lower_leg_to_your_heel_bone._achilles_tendinitis_achilles_tendinitis_achilles_tendinitis_achilles_tendinitis_achilles_tendinitis_is_an_overuse_injury_of_the_achilles_(uh_kill_eez)_tendon|the_band_of_tissue_that_connects_calf_muscles_at_the_back_of_the_lower_leg_to_your_heel_bone._achilles_tendinitis_achilles_tendinitis_achilles_tendinitis_is_an_overuse_injury_of_the_achilles_(uh_kill_eez)_tendon|the_band_of_tissue_that_connects_calf_muscles_at_the_back_of_the_lower_leg_to_your_heel_bone._achilles_tendinitis_achilles_tendinitis_achilles_tendinitis_is_an_overuse_injury_of_the_achilles_(uh_kill_eez)_tendon|the_band_of_tissue_that_connects_calf_muscles_at_the_back_of_the_lower_leg_to_your_heel_bone._close_close_achilles_tendinitis_achilles_tendinitis_achilles_tendinitis_is_an_overuse_injury_of_the_achilles_(uh_kill_eez)_tendon|the_band_of_tissue_that_connects_calf_muscles_at_the_back_of_the_lower_leg_to_your_heel_bone._achilles_tendinitis_achilles_tendinitis_is_an_overuse_injury_of_the_achilles_(uh_kill_eez)_tendon|the_band_of_tissue_that_connects_calf_muscles_at_the_back_of_the_lower_leg_to_your_heel_bone._achilles_tendinitis_is_an_overuse_injury_of_the_achilles_(uh_kill_eez)_tendon|the_band_of_tissue_that_connects_calf_muscles_at_the_back_of_the_lower_leg_to_your_heel_bone._the_pain_associated_with_achilles_tendinitis_typically_begins_as_a_mild_ache_in_the_back_of_the_leg_or_above_the_heel_after_running_or_other_sports_activity._episodes_of_more_severe_pain_may_occur_after_prolonged_running|stair_climbing_or_sprinting._you_might_also_experience_tenderness_or_stiffness|especially_in_the_morning|which_usually_improves_with_mild_activity.,"achilles tendinitis achilles tendinitis achilles tendinitis achilles tendinitis is an overuse injury of the achilles (uh kill eez) tendon, the band of tissue that connects calf muscles at the back of the lower leg to your heel bone. achilles tendinitis achilles tendinitis achilles tendinitis achilles tendinitis achilles tendinitis is an overuse injury of the achilles (uh kill eez) tendon, the band of tissue that connects calf muscles at the back of the lower leg to your heel bone. achilles tendinitis achilles tendinitis achilles tendinitis is an overuse injury of the achilles (uh kill eez) tendon, the band of tissue that connects calf muscles at the back of the lower leg to your heel bone. achilles tendinitis achilles tendinitis achilles tendinitis is an overuse injury of the achilles (uh kill eez) tendon, the band of tissue that connects calf muscles at the back of the lower leg to your heel bone. close close achilles tendinitis achilles tendinitis achilles tendinitis is an overuse injury of the achilles (uh kill eez) tendon, the band of tissue that connects calf muscles at the back of the lower leg to your heel bone. achilles tendinitis achilles tendinitis is an overuse injury of the achilles (uh kill eez) tendon, the band of tissue that connects calf muscles at the back of the lower leg to your heel bone. achilles tendinitis is an overuse injury of the achilles (uh kill eez) tendon, the band of tissue that connects calf muscles at the back of the lower leg to your heel bone. the pain associated with achilles tendinitis typically begins as a mild ache in the back of the leg or above the heel after running or other sports activity. episodes of more severe pain may occur after prolonged running, stair climbing or sprinting. you might also experience tenderness or stiffness, especially in the morning, which usually improves with mild activity.",11
fhai50032_symptoms_to_disease_7k,Achilles Tendon Rupture,"although_it's_possible_to_have_no_signs_or_symptoms_with_an_achilles_tendon_rupture|most_people_have:_the_feeling_of_having_been_kicked_in_the_calf_pain|possibly_severe|and_swelling_near_the_heel_an_inability_to_bend_the_foot_downward_or_""push_off""_the_injured_leg_when_walking_an_inability_to_stand_on_the_toes_on_the_injured_leg_a_popping_or_snapping_sound_when_the_injury_occurs_when_to_see_your_doctor_seek_medical_advice_immediately_if_you_hear_a_pop_in_your_heel|especially_if_you_can't_walk_properly_afterward.","although it's possible to have no signs or symptoms with an achilles tendon rupture, most people have: the feeling of having been kicked in the calf pain, possibly severe, and swelling near the heel an inability to bend the foot downward or ""push off"" the injured leg when walking an inability to stand on the toes on the injured leg a popping or snapping sound when the injury occurs when to see your doctor seek medical advice immediately if you hear a pop in your heel, especially if you can't walk properly afterward.",5
fhai50032_symptoms_to_disease_7k,Acl Injury,"signs_and_symptoms_of_an_acl_injury_usually_include:_acl_a_loud_pop_or_a_""popping""_sensation_in_the_knee_severe_pain_and_inability_to_continue_activity_rapid_swelling_loss_of_range_of_motion_a_feeling_of_instability_or_""giving_way""_with_weight_bearing","signs and symptoms of an acl injury usually include: acl a loud pop or a ""popping"" sensation in the knee severe pain and inability to continue activity rapid swelling loss of range of motion a feeling of instability or ""giving way"" with weight bearing",1
fhai50032_symptoms_to_disease_7k,Acne,cystic_acne_cystic_acne_cystic_acne_cystic_acne_—_the_most_severe_form_of_acne_—_occurs_when_oil_and_dead_skin_cells_build_up_deep_within_hair_follicles._the_resulting_rupture_within_your_skin_may_form_boil_like_inflammation._cystic_acne_cystic_acne_cystic_acne_cystic_acne_cystic_acne_—_the_most_severe_form_of_acne_—_occurs_when_oil_and_dead_skin_cells_build_up_deep_within_hair_follicles._the_resulting_rupture_within_your_skin_may_form_boil_like_inflammation._cystic_acne_cystic_acne_cystic_acne_—_the_most_severe_form_of_acne_—_occurs_when_oil_and_dead_skin_cells_build_up_deep_within_hair_follicles._the_resulting_rupture_within_your_skin_may_form_boil_like_inflammation._cystic_acne_cystic_acne_cystic_acne_—_the_most_severe_form_of_acne_—_occurs_when_oil_and_dead_skin_cells_build_up_deep_within_hair_follicles._the_resulting_rupture_within_your_skin_may_form_boil_like_inflammation._close_close_cystic_acne_cystic_acne_cystic_acne_—_the_most_severe_form_of_acne_—_occurs_when_oil_and_dead_skin_cells_build_up_deep_within_hair_follicles._the_resulting_rupture_within_your_skin_may_form_boil_like_inflammation._cystic_acne_cystic_acne_—_the_most_severe_form_of_acne_—_occurs_when_oil_and_dead_skin_cells_build_up_deep_within_hair_follicles._the_resulting_rupture_within_your_skin_may_form_boil_like_inflammation._cystic_acne_—_the_most_severe_form_of_acne_—_occurs_when_oil_and_dead_skin_cells_build_up_deep_within_hair_follicles._the_resulting_rupture_within_your_skin_may_form_boil_like_inflammation._acne_signs_vary_depending_on_the_severity_of_your_condition:_whiteheads_(closed_plugged_pores)_blackheads_(open_plugged_pores)_small_red|tender_bumps_(papules)_pimples_(pustules)|which_are_papules_with_pus_at_their_tips_large|solid|painful_lumps_under_the_skin_(nodules)_painful|pus_filled_lumps_under_the_skin_(cystic_lesions)_acne_usually_appears_on_the_face|forehead|chest|upper_back_and_shoulders.,"cystic acne cystic acne cystic acne cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. the resulting rupture within your skin may form boil like inflammation. cystic acne cystic acne cystic acne cystic acne cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. the resulting rupture within your skin may form boil like inflammation. cystic acne cystic acne cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. the resulting rupture within your skin may form boil like inflammation. cystic acne cystic acne cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. the resulting rupture within your skin may form boil like inflammation. close close cystic acne cystic acne cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. the resulting rupture within your skin may form boil like inflammation. cystic acne cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. the resulting rupture within your skin may form boil like inflammation. cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. the resulting rupture within your skin may form boil like inflammation. acne signs vary depending on the severity of your condition: whiteheads (closed plugged pores) blackheads (open plugged pores) small red, tender bumps (papules) pimples (pustules), which are papules with pus at their tips large, solid, painful lumps under the skin (nodules) painful, pus filled lumps under the skin (cystic lesions) acne usually appears on the face, forehead, chest, upper back and shoulders.",9
fhai50032_symptoms_to_disease_7k,Acne,pus_filled_pimples|blackheads|scurring,"pus filled pimples, blackheads, scurring",3
fhai50032_symptoms_to_disease_7k,Acne,skin_rash|blackheads|scurring,"skin rash, blackheads, scurring",3
fhai50032_symptoms_to_disease_7k,Acne,skin_rash|pus_filled_pimples|blackheads,"skin rash, pus filled pimples, blackheads",3
fhai50032_symptoms_to_disease_7k,Acne,skin_rash|pus_filled_pimples|blackheads|scurring,"skin rash, pus filled pimples, blackheads, scurring",4
fhai50032_symptoms_to_disease_7k,Acne,skin_rash|pus_filled_pimples|scurring,"skin rash, pus filled pimples, scurring",3
fhai50032_symptoms_to_disease_7k,Acoustic Neuroma,signs_and_symptoms_of_acoustic_neuroma_are_often_easy_to_miss_and_may_take_many_years_to_develop._they_usually_happen_because_of_the_tumor's_effects_on_the_hearing_and_balance_nerves._pressure_from_the_tumor_on_nearby_nerves_controlling_facial_muscles_and_sensation_(facial_and_trigeminal_nerves)|nearby_blood_vessels|or_brain_structures_may_also_cause_problems._as_the_tumor_grows|it_may_cause_more_noticeable_or_severe_signs_and_symptoms._common_signs_and_symptoms_of_acoustic_neuroma_include:_hearing_loss|usually_gradually_worsening_over_months_to_years_—_although_in_rare_cases_sudden_—_and_occurring_on_only_one_side_or_more_severe_on_one_side_ringing_(tinnitus)_in_the_affected_ear_unsteadiness_or_loss_of_balance_dizziness_(vertigo)_facial_numbness_and_weakness_or_loss_of_muscle_movement_in_rare_cases|an_acoustic_neuroma_may_grow_large_enough_to_compress_the_brainstem_and_become_life_threatening._when_to_see_your_doctor_see_your_doctor_if_you_notice_hearing_loss_in_one_ear|ringing_in_your_ear_or_trouble_with_your_balance._early_diagnosis_of_an_acoustic_neuroma_may_help_keep_the_tumor_from_growing_large_enough_to_cause_serious_consequences|such_as_total_hearing_loss.,"signs and symptoms of acoustic neuroma are often easy to miss and may take many years to develop. they usually happen because of the tumor's effects on the hearing and balance nerves. pressure from the tumor on nearby nerves controlling facial muscles and sensation (facial and trigeminal nerves), nearby blood vessels, or brain structures may also cause problems. as the tumor grows, it may cause more noticeable or severe signs and symptoms. common signs and symptoms of acoustic neuroma include: hearing loss, usually gradually worsening over months to years — although in rare cases sudden — and occurring on only one side or more severe on one side ringing (tinnitus) in the affected ear unsteadiness or loss of balance dizziness (vertigo) facial numbness and weakness or loss of muscle movement in rare cases, an acoustic neuroma may grow large enough to compress the brainstem and become life threatening. when to see your doctor see your doctor if you notice hearing loss in one ear, ringing in your ear or trouble with your balance. early diagnosis of an acoustic neuroma may help keep the tumor from growing large enough to cause serious consequences, such as total hearing loss.",8
fhai50032_symptoms_to_disease_7k,Acromegaly,a_common_sign_of_acromegaly_is_enlarged_hands_and_feet._for_example|you_may_notice_that_you_aren't_able_to_put_on_rings_that_used_to_fit|and_that_your_shoe_size_has_progressively_increased._acromegaly_may_also_cause_gradual_changes_in_your_face's_shape|such_as_a_protruding_lower_jaw_and_brow_bone|an_enlarged_nose|thickened_lips|and_wider_spacing_between_your_teeth._because_acromegaly_tends_to_progress_slowly|early_signs_may_not_be_obvious_for_years._sometimes|people_notice_the_physical_changes_only_by_comparing_old_photos_with_newer_ones._overall|acromegaly_signs_and_symptoms_tend_to_vary_from_one_person_to_another|and_may_include_any_of_the_following:_enlarged_hands_and_feet_enlarged_facial_features|including_the_facial_bones|lips|nose_and_tongue_coarse|oily|thickened_skin_excessive_sweating_and_body_odor_small_outgrowths_of_skin_tissue_(skin_tags)_fatigue_and_joint_or_muscle_weakness_pain_and_limited_joint_mobility_a_deepened|husky_voice_due_to_enlarged_vocal_cords_and_sinuses_severe_snoring_due_to_obstruction_of_the_upper_airway_vision_problems_headaches|which_may_be_persistent_or_severe_menstrual_cycle_irregularities_in_women_erectile_dysfunction_in_men_loss_of_interest_in_sex,"a common sign of acromegaly is enlarged hands and feet. for example, you may notice that you aren't able to put on rings that used to fit, and that your shoe size has progressively increased. acromegaly may also cause gradual changes in your face's shape, such as a protruding lower jaw and brow bone, an enlarged nose, thickened lips, and wider spacing between your teeth. because acromegaly tends to progress slowly, early signs may not be obvious for years. sometimes, people notice the physical changes only by comparing old photos with newer ones. overall, acromegaly signs and symptoms tend to vary from one person to another, and may include any of the following: enlarged hands and feet enlarged facial features, including the facial bones, lips, nose and tongue coarse, oily, thickened skin excessive sweating and body odor small outgrowths of skin tissue (skin tags) fatigue and joint or muscle weakness pain and limited joint mobility a deepened, husky voice due to enlarged vocal cords and sinuses severe snoring due to obstruction of the upper airway vision problems headaches, which may be persistent or severe menstrual cycle irregularities in women erectile dysfunction in men loss of interest in sex",18
fhai50032_symptoms_to_disease_7k,Actinic Keratosis,actinic_keratoses_vary_in_appearance._symptoms_include:_rough|dry_or_scaly_patch_of_skin|usually_less_than_1_inch_(2.5_centimeters)_in_diameter_flat_to_slightly_raised_patch_or_bump_on_the_top_layer_of_skin_in_some_cases|a_hard|wartlike_surface_color_variations|including_pink|red_or_brown_itching|burning|bleeding_or_crusting_new_patches_or_bumps_on_sun_exposed_areas_of_the_head|neck|hands_and_forearms,"actinic keratoses vary in appearance. symptoms include: rough, dry or scaly patch of skin, usually less than 1 inch (2.5 centimeters) in diameter flat to slightly raised patch or bump on the top layer of skin in some cases, a hard, wartlike surface color variations, including pink, red or brown itching, burning, bleeding or crusting new patches or bumps on sun exposed areas of the head, neck, hands and forearms",11
fhai50032_symptoms_to_disease_7k,Acute Coronary Syndrome,the_signs_and_symptoms_of_acute_coronary_syndrome_usually_begin_abruptly._they_include:_chest_pain_(angina)_or_discomfort|often_described_as_aching|pressure|tightness_or_burning_pain_spreading_from_the_chest_to_the_shoulders|arms|upper_abdomen|back|neck_or_jaw_nausea_or_vomiting_indigestion_shortness_of_breath_(dyspnea)_sudden|heavy_sweating_(diaphoresis)_lightheadedness|dizziness_or_fainting_unusual_or_unexplained_fatigue_feeling_restless_or_apprehensive_chest_pain_or_discomfort_is_the_most_common_symptom._however|signs_and_symptoms_may_vary_significantly_depending_on_your_age|sex_and_other_medical_conditions._you're_more_likely_to_have_signs_and_symptoms_without_chest_pain_or_discomfort_if_you're_a_woman|older_adult_or_have_diabetes.,"the signs and symptoms of acute coronary syndrome usually begin abruptly. they include: chest pain (angina) or discomfort, often described as aching, pressure, tightness or burning pain spreading from the chest to the shoulders, arms, upper abdomen, back, neck or jaw nausea or vomiting indigestion shortness of breath (dyspnea) sudden, heavy sweating (diaphoresis) lightheadedness, dizziness or fainting unusual or unexplained fatigue feeling restless or apprehensive chest pain or discomfort is the most common symptom. however, signs and symptoms may vary significantly depending on your age, sex and other medical conditions. you're more likely to have signs and symptoms without chest pain or discomfort if you're a woman, older adult or have diabetes.",13
fhai50032_symptoms_to_disease_7k,Acute Flaccid Myelitis,the_most_common_signs_and_symptoms_of_acute_flaccid_myelitis_include:_sudden_arm_or_leg_weakness_sudden_loss_of_muscle_tone_sudden_loss_of_reflexes_other_possible_signs_and_symptoms_include:_difficulty_moving_the_eyes_or_drooping_eyelids_facial_droop_or_weakness_difficulty_with_swallowing_or_slurred_speech_pain_in_the_arms|legs|neck_or_back_uncommon_symptoms_might_include:_numbness_or_tingling_inability_to_pass_urine_severe_symptoms_involve_respiratory_failure|due_to_the_muscles_involved_in_breathing_becoming_weak._it's_also_possible_to_experience_life_threatening_body_temperature_changes_and_blood_pressure_instability.,"the most common signs and symptoms of acute flaccid myelitis include: sudden arm or leg weakness sudden loss of muscle tone sudden loss of reflexes other possible signs and symptoms include: difficulty moving the eyes or drooping eyelids facial droop or weakness difficulty with swallowing or slurred speech pain in the arms, legs, neck or back uncommon symptoms might include: numbness or tingling inability to pass urine severe symptoms involve respiratory failure, due to the muscles involved in breathing becoming weak. it's also possible to experience life threatening body temperature changes and blood pressure instability.",4
fhai50032_symptoms_to_disease_7k,Acute Liver Failure,signs_and_symptoms_of_acute_liver_failure_may_include:_yellowing_of_your_skin_and_eyeballs_(jaundice)_pain_in_your_upper_right_abdomen_a_swollen_belly_(ascites)_nausea_vomiting_a_general_sense_of_feeling_unwell_(malaise)_disorientation_or_confusion_sleepiness_breath_may_have_a_musty_or_sweet_odor_tremors,signs and symptoms of acute liver failure may include: yellowing of your skin and eyeballs (jaundice) pain in your upper right abdomen a swollen belly (ascites) nausea vomiting a general sense of feeling unwell (malaise) disorientation or confusion sleepiness breath may have a musty or sweet odor tremors,1
fhai50032_symptoms_to_disease_7k,Acute Lymphocytic Leukemia,signs_and_symptoms_of_acute_lymphocytic_leukemia_may_include:_bleeding_from_the_gums_bone_pain_fever_frequent_infections_frequent_or_severe_nosebleeds_lumps_caused_by_swollen_lymph_nodes_in_and_around_the_neck|armpits|abdomen_or_groin_pale_skin_shortness_of_breath_weakness|fatigue_or_a_general_decrease_in_energy,"signs and symptoms of acute lymphocytic leukemia may include: bleeding from the gums bone pain fever frequent infections frequent or severe nosebleeds lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin pale skin shortness of breath weakness, fatigue or a general decrease in energy",4
fhai50032_symptoms_to_disease_7k,Acute Myelogenous Leukemia,general_signs_and_symptoms_of_the_early_stages_of_acute_myelogenous_leukemia_may_mimic_those_of_the_flu_or_other_common_diseases._signs_and_symptoms_of_acute_myelogenous_leukemia_include:_fever_bone_pain_lethargy_and_fatigue_shortness_of_breath_pale_skin_frequent_infections_easy_bruising_unusual_bleeding|such_as_frequent_nosebleeds_and_bleeding_from_the_gums,"general signs and symptoms of the early stages of acute myelogenous leukemia may mimic those of the flu or other common diseases. signs and symptoms of acute myelogenous leukemia include: fever bone pain lethargy and fatigue shortness of breath pale skin frequent infections easy bruising unusual bleeding, such as frequent nosebleeds and bleeding from the gums",2
fhai50032_symptoms_to_disease_7k,Acute Sinusitis,acute_sinusitis_signs_and_symptoms_often_include:_thick|yellow_or_greenish_mucus_from_the_nose_(runny_nose)_or_down_the_back_of_the_throat_(postnasal_drainage)_blocked_or_stuffy_nose_(congestion)_causing_difficulty_breathing_through_your_nose_pain|tenderness|swelling_and_pressure_around_your_eyes|cheeks|nose_or_forehead_that_worsens_when_bending_over_other_signs_and_symptoms_include:_ear_pressure_headache_aching_in_your_teeth_altered_sense_of_smell_cough_bad_breath_fatigue_fever,"acute sinusitis signs and symptoms often include: thick, yellow or greenish mucus from the nose (runny nose) or down the back of the throat (postnasal drainage) blocked or stuffy nose (congestion) causing difficulty breathing through your nose pain, tenderness, swelling and pressure around your eyes, cheeks, nose or forehead that worsens when bending over other signs and symptoms include: ear pressure headache aching in your teeth altered sense of smell cough bad breath fatigue fever",6
fhai50032_symptoms_to_disease_7k,Addisons Disease,addison's_disease_symptoms_usually_happen_slowly|often_over_months._the_disease_can_move_so_slowly_that_people_who_have_it_may_ignore_the_symptoms_at_first._then_a_stress|such_as_illness_or_injury|makes_symptoms_worse._symptoms_may_include:_extreme_fatigue_weight_loss_and_loss_of_appetite_areas_of_darkened_skin_low_blood_pressure|even_fainting_salt_craving_low_blood_sugar|also_called_hypoglycemia_nausea|diarrhea_or_vomiting_abdominal_pain_muscle_and_joint_pain_irritability_depression_body_hair_loss_or_sexual_issues_in_some_people_acute_adrenal_failure|known_as_addisonian_crisis_sometimes_the_symptoms_of_addison's_disease_appear_suddenly._acute_adrenal_failure_can_lead_to_life_threatening_shock._seek_emergency_treatment_for_the_following:_severe_weakness_confusion_pain_in_the_lower_back_or_legs_severe_abdominal_pain|vomiting_and_diarrhea|leading_to_dehydration_reduced_consciousness_or_delirium_low_blood_pressure,"addison's disease symptoms usually happen slowly, often over months. the disease can move so slowly that people who have it may ignore the symptoms at first. then a stress, such as illness or injury, makes symptoms worse. symptoms may include: extreme fatigue weight loss and loss of appetite areas of darkened skin low blood pressure, even fainting salt craving low blood sugar, also called hypoglycemia nausea, diarrhea or vomiting abdominal pain muscle and joint pain irritability depression body hair loss or sexual issues in some people acute adrenal failure, known as addisonian crisis sometimes the symptoms of addison's disease appear suddenly. acute adrenal failure can lead to life threatening shock. seek emergency treatment for the following: severe weakness confusion pain in the lower back or legs severe abdominal pain, vomiting and diarrhea, leading to dehydration reduced consciousness or delirium low blood pressure",10
fhai50032_symptoms_to_disease_7k,Adenomyosis,sometimes|adenomyosis_causes_no_signs_or_symptoms_or_only_mild_discomfort._however|adenomyosis_can_cause:_heavy_or_prolonged_menstrual_bleeding_severe_cramping_or_sharp|knifelike_pelvic_pain_during_menstruation_(dysmenorrhea)_chronic_pelvic_pain_painful_intercourse_(dyspareunia)_your_uterus_might_get_bigger._although_you_might_not_know_if_your_uterus_is_bigger|you_may_notice_tenderness_or_pressure_in_your_lower_abdomen.,"sometimes, adenomyosis causes no signs or symptoms or only mild discomfort. however, adenomyosis can cause: heavy or prolonged menstrual bleeding severe cramping or sharp, knifelike pelvic pain during menstruation (dysmenorrhea) chronic pelvic pain painful intercourse (dyspareunia) your uterus might get bigger. although you might not know if your uterus is bigger, you may notice tenderness or pressure in your lower abdomen.",5
